survey_year,stratum,survey_species,estimate,standard_error
1955,39,MERG,196,192
1955,39,NOPI,61468,10139
1955,39,NSHO,18046,3199
1955,39,POND,317966,31314
1955,39,REDH,7177,2293
1955,39,RNDU,1790,981
1955,39,RUDU,2560,847
1955,39,SCAU,48734,14526
1955,40,AGWT,4977,2313
1955,40,AMCO,7085,1835
1955,40,AMWI,28528,11018
1955,40,BUFF,1453,759
1955,40,BWTE,116099,17064
1955,40,CANV,19570,7026
1955,40,GADW,8083,2366
1955,40,GOLD,868,646
1955,40,MALL,108820,13979
1955,40,NOPI,29915,6549
1955,40,NSHO,11263,2563
1955,40,POND,352385,18628
1955,40,REDH,19134,7656
1955,40,RNDU,343,175
1955,40,RUDU,22783,14450
1955,40,SCAU,71367,29616
1955,50,ABDU,6846,4594
1955,50,AMWI,17788,6818
1955,50,BUFF,8269,5687
1955,50,CAGO,17028,17028
1955,50,GOLD,13477,11207
1955,50,MALL,41152,19071
1955,50,MERG,94011,25748
1955,50,RNDU,40192,17287
1955,50,SCAU,16624,8116
1956,13,AGWT,17196,6614
1956,13,AMWI,39159,12952
1956,13,GOLD,2969,1996
1956,13,MALL,21785,5188
1956,13,MERG,348,348
1956,13,NOPI,44486,23438
1956,13,SCAU,49286,16660
1956,14,AGWT,27262,13255
1956,14,AMWI,242932,45486
1956,14,CAGO,2404,2404
1956,14,GOLD,9415,4580
1956,14,MALL,60740,25593
1956,14,MERG,12144,6222
1956,14,NOPI,205803,79186
1956,14,SCAU,762457,113396
1956,15,AGWT,58611,43412
1956,15,AMWI,154750,41890
1956,15,CAGO,130944,130944
1956,15,MALL,177527,44737
1956,15,MERG,3165,12410
1956,15,NOPI,19886,102476
1956,15,SCAU,459379,170547
1956,16,AGWT,10604,12735
1956,16,AMWI,58795,46739
1956,16,BUFF,11956,9759
1956,16,CAGO,100997,100997
1956,16,GOLD,4883,5819
1956,16,MALL,59295,20967
1956,16,MERG,22330,7150
1956,16,NOPI,21587,2902
1956,16,SCAU,151768,39218
1956,17,AGWT,64761,36766
1956,17,AMWI,102594,39506
1956,17,BUFF,44335,20904
1956,17,CAGO,140334,140334
1956,17,GOLD,12780,9018
1956,17,MALL,171367,69350
1956,17,NOPI,109863,53373
1956,17,RNDU,47438,14358
1956,17,SCAU,337790,98673
1956,18,AGWT,61324,31846
1956,18,AMWI,64766,33524
1956,18,BUFF,8643,2111
1956,18,GOLD,4706,2605
1956,18,MALL,57153,29613
1956,18,MERG,1656,912
1956,18,RNDU,62889,13781
1956,18,SCAU,203007,90074
1956,20,AGWT,25884,8336
1956,20,AMWI,64071,26144
1956,20,BUFF,5016,2489
1956,20,BWTE,8510,4889
1956,20,CAGO,5992,5992
1956,20,CANV,11758,4171
1956,20,GOLD,6704,5142
1956,20,MALL,133434,31573
1956,20,MERG,1048,851
1956,20,NOPI,75747,24168
1956,20,NSHO,43570,9253
1956,20,REDH,16685,3522
1956,20,RNDU,4770,2553
1956,20,RUDU,1839,1769
1956,20,SCAU,12640,3639
1956,21,BUFF,2595,2448
1956,21,MALL,86203,56186
1956,21,MERG,8949,5763
1956,21,SCAU,8139,3990
1956,22,AGWT,9884,6168
1956,22,AMWI,22872,13249
1956,22,BUFF,4426,2566
1956,22,BWTE,6883,6481
1956,22,CANV,12968,12202
1956,22,GADW,1015,953
1956,22,GOLD,1205,1137
1956,22,MALL,165378,58646
1956,22,MERG,4663,2550
1956,22,NOPI,18646,10655
1956,22,SCAU,89223,36812
1956,23,AGWT,25688,13328
1956,23,BUFF,7321,6163
1956,23,BWTE,22768,20227
1956,23,CAGO,3054,3054
1956,23,MALL,253267,78605
1956,23,MERG,26994,14503
1956,23,NOPI,29371,27168
1956,23,NSHO,1927,2169
1956,23,RNDU,1827,1685
1956,23,SCAU,66134,28656
1956,24,BUFF,1349,1434
1956,24,BWTE,6294,6686
1956,24,CAGO,62473,62473
1956,24,CANV,9487,10085
1956,24,MALL,219580,66307
1956,24,MERG,10855,7861
1956,24,RNDU,44458,47279
1956,24,SCAU,64672,49368
1956,25,AMWI,17297,4934
1956,25,BUFF,3905,2642
1956,25,BWTE,28630,17765
1956,25,CANV,18961,7996
1956,25,MALL,183441,29511
1956,25,MERG,2565,941
1956,25,NOPI,12087,10104
1956,25,REDH,16487,13280
1956,25,RNDU,7520,3023
1956,25,SCAU,87472,17711
1956,26,AGWT,112255,25918
1956,26,AMCO,55481,12985
1956,26,AMWI,221253,23423
1956,26,BUFF,29532,7070
1956,26,BWTE,526024,80576
1956,26,CAGO,692,692
1956,26,CANV,67354,16201
1956,26,GADW,120490,23173
1956,26,GOLD,12205,5929
1956,26,MALL,893726,81727
1956,26,NOPI,374515,42293
1956,26,NSHO,139420,17195
1956,26,POND,557221,62304
1956,26,REDH,80372,14269
1956,26,RNDU,7036,3313
1956,26,RUDU,46287,14050
1956,26,SCAU,235387,24754
1956,27,AGWT,30229,10768
1956,27,AMCO,24209,7785
1956,27,AMWI,156245,17640
1956,27,BUFF,3001,1543
1956,27,BWTE,243837,59276
1956,27,CANV,10041,4063
1956,27,GADW,89063,10724
1956,27,GOLD,1695,959
1956,27,MALL,402824,24894
1956,27,NOPI,424035,50162
1956,27,NSHO,140188,12409
1956,27,POND,236564,29562
1956,27,REDH,29082,10129
1956,27,RNDU,1777,1333
1956,27,RUDU,18995,10795
1956,27,SCAU,106532,22926
1956,28,AGWT,15651,6309
1956,28,AMCO,18308,6712
1956,28,AMWI,111892,21123
1956,28,BUFF,2316,2055
1956,28,BWTE,114932,27151
1956,28,CANV,7369,4019
1956,28,GADW,42668,9170
1956,28,GOLD,4905,3073
1956,28,MALL,272746,20006
1956,28,NOPI,510124,77335
1956,28,NSHO,103120,19776
1956,28,POND,149253,18229
1956,28,REDH,17561,6799
1956,28,RUDU,7779,3844
1956,28,SCAU,84320,16135
1956,29,AGWT,24105,10170
1956,29,AMCO,10040,3758
1956,29,AMWI,46160,15075
1956,29,BUFF,1783,728
1956,29,BWTE,18966,13185
1956,29,CANV,13969,9621
1956,29,GADW,17721,5144
1956,29,GOLD,2266,1525
1956,29,MALL,188338,51771
1956,29,NOPI,212785,47601
1956,29,NSHO,22235,5418
1956,29,POND,95044,19371
1956,29,REDH,18675,9045
1956,29,RUDU,5209,5299
1956,29,SCAU,56966,30328
1956,30,AGWT,63262,30216
1956,30,AMCO,63757,24420
1956,30,AMWI,121992,20604
1956,30,BUFF,2957,1849
1956,30,BWTE,230283,33835
1956,30,CANV,39519,12379
1956,30,GADW,51748,9940
1956,30,GOLD,10661,7368
1956,30,MALL,703475,79289
1956,30,NOPI,787805,173022
1956,30,NSHO,68308,16035
1956,30,POND,315811,72564
1956,30,REDH,62376,22779
1956,30,RUDU,6117,6009
1956,30,SCAU,216860,109496
1956,31,AGWT,135685,47090
1956,31,AMCO,220082,87790
1956,31,AMWI,262104,47311
1956,31,BUFF,5436,5247
1956,31,BWTE,641577,191571
1956,31,CANV,147021,65943
1956,31,GADW,84119,15710
1956,31,GOLD,9147,4028
1956,31,MALL,1074543,157719
1956,31,NOPI,1351191,303160
1956,31,NSHO,179996,48834
1956,31,POND,414848,121013
1956,31,REDH,181521,72726
1956,31,RUDU,55105,37897
1956,31,SCAU,451867,117625
1956,32,AGWT,195275,46840
1956,32,AMCO,219445,44360
1956,32,AMWI,242802,28946
1956,32,BWTE,803504,118049
1956,32,CAGO,770,770
1956,32,CANV,100572,19006
1956,32,GADW,195299,32905
1956,32,GOLD,680,689
1956,32,MALL,1659374,160966
1956,32,NOPI,3010823,427125
1956,32,NSHO,374125,46396
1956,32,POND,729674,44270
1956,32,REDH,136622,41144
1956,32,RNDU,475,470
1956,32,RUDU,72689,29078
1956,32,SCAU,364952,89231
1956,33,AGWT,37544,18148
1956,33,AMCO,3635,2439
1956,33,AMWI,41866,15063
1956,33,BWTE,83832,28253
1956,33,CANV,25372,9404
1956,33,GADW,33944,10173
1956,33,MALL,247775,44090
1956,33,NOPI,468322,142361
1956,33,NSHO,86991,24260
1956,33,POND,103113,12153
1956,33,REDH,11779,6094
1956,33,RUDU,1815,1758
1956,33,SCAU,62532,17893
1956,34,AGWT,30402,7571
1956,34,AMCO,56417,9642
1956,34,AMWI,194436,50752
1956,34,BWTE,481112,96479
1956,34,CANV,56653,17060
1956,34,GADW,38347,10893
1956,34,MALL,728706,61349
1956,34,NOPI,285039,53838
1956,34,NSHO,69837,9009
1956,34,POND,746712,56334
1956,34,REDH,34256,8812
1956,34,RNDU,8688,3796
1956,34,RUDU,84226,47297
1956,34,SCAU,112313,28008
1956,35,AGWT,22092,6725
1956,35,AMCO,41362,9523
1956,35,AMWI,82974,19474
1956,35,BUFF,413,394
1956,35,BWTE,302431,64081
1956,35,CANV,28239,6548
1956,35,GADW,18691,7114
1956,35,GOLD,701,670
1956,35,MALL,277556,31853
1956,35,NOPI,319001,41899
1956,35,NSHO,75120,9623
1956,35,POND,452487,39874
1956,35,REDH,22584,9460
1956,35,RNDU,7738,2601
1956,35,RUDU,11858,7530
1956,35,SCAU,66133,27122
1956,36,AMWI,11701,3496
1956,36,BWTE,8670,11508
1956,36,MALL,36748,10661
1956,36,NOPI,38671,7076
1956,36,POND,54593,36102
1956,37,AMCO,15892,9988
1956,37,AMWI,34039,37635
1956,37,BUFF,3103,1751
1956,37,BWTE,41271,27658
1956,37,CANV,10214,3813
1956,37,GADW,2672,2557
1956,37,GOLD,6310,4578
1956,37,MALL,225903,101867
1956,37,NOPI,70129,37121
1956,37,NSHO,20006,7000
1956,37,POND,481836,65019
1956,37,REDH,22303,8275
1956,37,RNDU,9956,10995
1956,37,RUDU,3560,1560
1956,37,SCAU,65992,56703
1956,38,AMCO,1047,612
1956,38,AMWI,3008,1360
1956,38,BWTE,40113,10340
1956,38,CANV,496,378
1956,38,MALL,41051,6497
1956,38,NOPI,31241,7692
1956,38,NSHO,3535,1544
1956,38,POND,83987,15882
1956,38,SCAU,3041,1216
1956,39,AGWT,9535,3923
1956,39,AMCO,17813,6969
1956,39,AMWI,26914,6342
1956,39,BWTE,88666,17215
1956,39,CAGO,27416,27416
1956,39,CANV,20044,5045
1956,39,GADW,9603,3387
1956,39,GOLD,605,396
1956,39,MALL,113481,15651
1956,39,NOPI,90000,9383
1956,39,NSHO,27715,4896
1956,39,POND,188970,18677
1956,39,REDH,13851,5482
1956,39,RNDU,5248,2871
1956,39,RUDU,7165,5649
1956,39,SCAU,15212,4398
1956,40,AGWT,8295,3218
1956,40,AMCO,10932,3194
1956,40,AMWI,47256,7852
1956,40,BUFF,512,376
1956,40,BWTE,105989,19931
1956,40,CAGO,4100,4100
1956,40,CANV,29932,7817
1956,40,GADW,6617,2384
1956,40,GOLD,6366,4244
1956,40,MALL,210792,13934
1956,40,NOPI,54071,6560
1956,40,NSHO,15263,2943
1956,40,POND,246782,21210
1956,40,REDH,17306,4257
1956,40,RNDU,2625,1065
1956,40,RUDU,17877,6669
1956,40,SCAU,63632,17268
1956,50,ABDU,18414,13840
1956,50,AMWI,10303,5520
1956,50,BUFF,15951,7973
1956,50,CAGO,14796,14796
1956,50,GOLD,39084,23932
1956,50,MALL,183768,35489
1956,50,MERG,71613,20938
1956,50,NOPI,9600,5767
1956,50,RNDU,1493,1420
1956,50,SCAU,252774,33324
1957,1,AGWT,977,989
1957,1,BUFF,205,181
1957,1,GOLD,793,529
1957,1,MALL,393,347
1957,1,NOPI,1383,906
1957,1,SCAU,1402,1008
1957,2,AMWI,475,497
1957,2,BUFF,2659,756
1957,2,CAGO,751,751
1957,2,GOLD,469,457
1957,2,MALL,3903,3903
1957,2,NOPI,654,482
1957,2,SCAU,16099,4125
1957,3,AGWT,13768,6479
1957,3,AMWI,32368,10338
1957,3,BUFF,12762,4052
1957,3,CAGO,24940,24940
1957,3,CANV,2694,1360
1957,3,GOLD,16766,8012
1957,3,MALL,56584,18580
1957,3,NOPI,45663,16687
1957,3,NSHO,2970,1824
1957,3,SCAU,90730,25313
1957,4,AGWT,2398,2348
1957,4,AMWI,21707,6578
1957,4,BUFF,4016,2307
1957,4,CAGO,7798,7798
1957,4,CANV,49266,16692
1957,4,GADW,819,802
1957,4,GOLD,974,904
1957,4,MALL,23160,5375
1957,4,NOPI,74693,16393
1957,4,NSHO,1810,1187
1957,4,SCAU,92931,18049
1957,5,AGWT,1888,1790
1957,5,AMWI,8542,3951
1957,5,CAGO,9819,9819
1957,5,GOLD,766,729
1957,5,MALL,14430,2849
1957,5,NOPI,16834,6405
1957,5,SCAU,8320,2345
1957,6,AMWI,8241,3735
1957,6,BUFF,1143,877
1957,6,CANV,499,448
1957,6,MALL,733,751
1957,6,NOPI,8764,4163
1957,6,SCAU,31733,10411
1957,8,AMWI,4823,3706
1957,8,CAGO,23826,23826
1957,8,MALL,14549,7286
1957,8,NOPI,27388,7554
1957,8,SCAU,67605,22957
1957,9,AGWT,14177,7658
1957,9,AMWI,40822,8189
1957,9,BUFF,3956,4004
1957,9,CAGO,470140,470140
1957,9,MALL,28785,8611
1957,9,NOPI,111721,23441
1957,9,SCAU,198840,34346
1957,10,AGWT,3664,1864
1957,10,AMWI,9044,3414
1957,10,BUFF,1789,1443
1957,10,CAGO,10325,10325
1957,10,GOLD,2883,3111
1957,10,MALL,3858,1685
1957,10,NOPI,24553,6021
1957,10,SCAU,28795,16034
1957,11,AGWT,1697,1647
1957,11,AMWI,11171,3265
1957,11,BUFF,355,372
1957,11,CAGO,20417,20417
1957,11,CANV,1860,1806
1957,11,MALL,6126,2407
1957,11,NOPI,42288,7842
1957,11,SCAU,49408,11705
1957,12,AGWT,858,811
1957,12,AMWI,19723,9810
1957,12,CANV,4823,4560
1957,12,GOLD,7498,3456
1957,12,MERG,418,124
1957,12,NOPI,39929,19367
1957,12,SCAU,23729,6261
1957,13,AGWT,6452,2366
1957,13,AMWI,47705,22534
1957,13,CAGO,1516,1516
1957,13,CANV,2843,2843
1957,13,GOLD,10874,7122
1957,13,MALL,16510,6291
1957,13,MERG,1746,1113
1957,13,NOPI,59869,43798
1957,13,SCAU,60386,27210
1957,14,AGWT,44323,19130
1957,14,AMWI,191779,46801
1957,14,BUFF,962,899
1957,14,CAGO,19234,19234
1957,14,GOLD,10971,7747
1957,14,MALL,36882,9658
1957,14,MERG,17160,8941
1957,14,NOPI,145845,19974
1957,14,SCAU,661172,132622
1957,15,AGWT,19547,42637
1957,15,AMWI,30971,41418
1957,15,BUFF,5513,15123
1957,15,CAGO,55134,60123
1957,15,MALL,109135,44200
1957,15,MERG,6347,12174
1957,15,NOPI,72997,101057
1957,15,SCAU,394492,168242
1957,16,AMWI,92456,48073
1957,16,BUFF,17953,21538
1957,16,CAGO,18703,18703
1957,16,MALL,33320,22549
1957,16,MERG,32727,9300
1957,16,NOPI,18009,7857
1957,16,SCAU,260663,91716
1957,17,AGWT,101818,72608
1957,17,AMWI,300661,232957
1957,17,BUFF,10443,3037
1957,17,CAGO,45690,45690
1957,17,GOLD,29784,18569
1957,17,MALL,187342,58389
1957,17,MERG,6011,6414
1957,17,NOPI,128842,89208
1957,17,NSHO,28835,40206
1957,17,SCAU,205762,30680
1957,18,AGWT,51129,9709
1957,18,AMWI,97217,35372
1957,18,BUFF,14421,7560
1957,18,MALL,67800,28465
1957,18,MERG,1660,917
1957,18,NOPI,27773,14027
1957,18,NSHO,4551,2321
1957,18,RNDU,52465,12867
1957,18,SCAU,430704,151047
1957,20,AGWT,21042,6421
1957,20,AMWI,67322,21509
1957,20,BUFF,4337,1720
1957,20,BWTE,25524,8306
1957,20,CAGO,571,571
1957,20,CANV,12302,6028
1957,20,GADW,1566,839
1957,20,GOLD,26784,11958
1957,20,MALL,90089,19954
1957,20,MERG,3810,2093
1957,20,NOPI,68139,20488
1957,20,NSHO,21610,2890
1957,20,REDH,19557,6279
1957,20,RNDU,2699,717
1957,20,RUDU,2756,2651
1957,20,SCAU,20239,6537
1957,21,CAGO,6496,6496
1957,21,MALL,77581,17545
1957,21,SCAU,61520,12347
1957,22,AGWT,9880,7559
1957,22,AMWI,3812,2337
1957,22,BUFF,5908,2944
1957,22,BWTE,3441,3240
1957,22,MALL,115149,39673
1957,22,MERG,3401,1624
1957,22,NOPI,5333,5010
1957,22,REDH,1037,1077
1957,22,SCAU,65651,19917
1957,23,AGWT,2469,2570
1957,23,AMWI,28002,28002
1957,23,BUFF,12918,6958
1957,23,BWTE,30095,30010
1957,23,GOLD,4211,4199
1957,23,MALL,173581,50891
1957,23,MERG,23796,11023
1957,23,NOPI,10885,4934
1957,23,SCAU,261439,51755
1957,24,AMWI,13946,12860
1957,24,CAGO,42212,42212
1957,24,GADW,5559,5919
1957,24,GOLD,2201,2334
1957,24,MALL,137794,52575
1957,24,MERG,8552,5170
1957,24,NOPI,1626,1424
1957,24,SCAU,391009,198213
1957,25,AMWI,5767,4200
1957,25,BUFF,1675,910
1957,25,BWTE,7806,4290
1957,25,CANV,5889,2348
1957,25,MALL,139430,32662
1957,25,MERG,643,571
1957,25,NOPI,18151,1523
1957,25,NSHO,7931,5182
1957,25,REDH,17258,4086
1957,25,SCAU,94063,25817
1957,26,AGWT,131677,35058
1957,26,AMCO,42221,6856
1957,26,AMWI,313285,32196
1957,26,BUFF,30647,7812
1957,26,BWTE,575693,81803
1957,26,CAGO,3804,3804
1957,26,CANV,82456,19293
1957,26,GADW,110408,18692
1957,26,GOLD,9759,3996
1957,26,MALL,1209198,103079
1957,26,NOPI,361588,45402
1957,26,NSHO,146738,19134
1957,26,POND,421417,52653
1957,26,REDH,66593,12645
1957,26,RNDU,1491,1467
1957,26,RUDU,38736,10184
1957,26,SCAU,310554,49824
1957,27,AGWT,31012,10906
1957,27,AMCO,6176,1746
1957,27,AMWI,120009,16435
1957,27,BUFF,2254,893
1957,27,BWTE,226942,45298
1957,27,CAGO,480,480
1957,27,CANV,12970,7972
1957,27,GADW,46006,5575
1957,27,MALL,393749,47010
1957,27,NOPI,294858,25374
1957,27,NSHO,113196,10590
1957,27,POND,122624,19190
1957,27,REDH,20595,7337
1957,27,RUDU,2339,1695
1957,27,SCAU,100745,15124
1957,28,AGWT,22087,10675
1957,28,AMCO,4788,2049
1957,28,AMWI,70943,13800
1957,28,BUFF,869,592
1957,28,BWTE,96440,28111
1957,28,CAGO,9451,9451
1957,28,CANV,2549,1084
1957,28,GADW,22544,6292
1957,28,GOLD,1961,1478
1957,28,MALL,226538,24058
1957,28,NOPI,409370,46580
1957,28,NSHO,70832,14203
1957,28,POND,77390,11014
1957,28,REDH,11290,4946
1957,28,RUDU,2369,1764
1957,28,SCAU,68910,11466
1957,29,AGWT,1417,1394
1957,29,AMCO,3420,2138
1957,29,AMWI,31548,15074
1957,29,BWTE,9481,7325
1957,29,CAGO,3425,3425
1957,29,CANV,2617,975
1957,29,GADW,8126,1894
1957,29,GOLD,3775,3716
1957,29,MALL,157208,42620
1957,29,NOPI,184815,43348
1957,29,NSHO,19065,7649
1957,29,POND,67026,14351
1957,29,REDH,7406,5686
1957,29,SCAU,34869,22463
1957,30,AGWT,37259,13890
1957,30,AMCO,98878,35396
1957,30,AMWI,98362,12013
1957,30,BUFF,6075,4881
1957,30,BWTE,298307,81160
1957,30,CANV,82134,50435
1957,30,GADW,93952,38582
1957,30,GOLD,8539,6505
1957,30,MALL,727433,89145
1957,30,NOPI,498684,84110
1957,30,NSHO,124130,25760
1957,30,POND,164066,17690
1957,30,REDH,103053,47783
1957,30,RUDU,9908,7987
1957,30,SCAU,289302,103724
1957,31,AGWT,65929,14837
1957,31,AMCO,197345,46339
1957,31,AMWI,106477,35001
1957,31,BUFF,8130,4883
1957,31,BWTE,403137,125328
1957,31,CANV,157118,65913
1957,31,GADW,94580,52887
1957,31,GOLD,9142,5658
1957,31,MALL,971591,229711
1957,31,NOPI,1033059,324815
1957,31,NSHO,159233,74846
1957,31,POND,399228,86014
1957,31,REDH,60250,26586
1957,31,RUDU,36000,17324
1957,31,SCAU,200216,66002
1957,32,AGWT,62590,42482
1957,32,AMCO,96139,24443
1957,32,AMWI,117692,19730
1957,32,BWTE,408580,82720
1957,32,CANV,38467,11756
1957,32,GADW,111580,20366
